Carta=Allmageddon | Tipo=Attack | Set=DOP | EfeitoOficial=Sem texto de habilidade impresso. | Funcionamento=Ataque sem texto adicional: aplica apenas os danos impressos (base/elementais) na resolução do ataque. | Dano={base:10,fire:10,water:10,air:10,earth:10,mugic:0,adicional:N/A,janela:resolucao_do_ataque} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:N/A,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=instantaneo,durante_combate | TriggerExato=durante_resolucao_do_ataque | Alvos=criaturas_engajadas | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=instantaneo
Carta=Smokesurge | Tipo=Attack | Set=AU | EfeitoOficial=If the opposing engaged Creature has Fire, damage dealt by Smokesurge is reduced to 0. | Funcionamento=Efeito oficial: "If the opposing engaged Creature has Fire, damage dealt by Smokesurge is reduced to 0.". Em regras, resolve na resolução do ataque, sob condição, gerando: attackDamageSetIfDefenderHasElement. | Dano={base:0,fire:5,water:0,air:0,earth:0,mugic:0,adicional:attackDamageSetIfDefenderHasElement,janela:resolucao_do_ataque} | Condicoes={stat_check:N/A,challenge:N/A,elemento:fire,disciplina:N/A,combate:N/A,alvo:creature:opponent, creature:opposing_engaged, creature:engaged} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=instantaneo,durante_combate,continuo | TriggerExato=durante_resolucao_do_ataque_condicional | Alvos=creature:opponent, creature:opposing_engaged, creature:engaged | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:altera_ataques,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=instantaneo
Carta=Somnort | Tipo=Creature | Set=AU | EfeitoOficial=Defender: Water. | Funcionamento=Efeito oficial: "Defender: Water.". Em regras, resolve na janela definida pelo texto, gerando: keyword. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:water,disciplina:N/A,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=passivo | TriggerExato=passivo_continuo_ou_condicional | Alvos=N/A | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:concede/remove_keywords,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=conforme_texto_da_carta
Carta=Son'las | Tipo=Creature | Set=AU | EfeitoOficial=When Son'las becomes engaged, the opposing engaged Creature loses Invisibility and your opponent reveals their attack hand. | Funcionamento=Efeito oficial: "When Son'las becomes engaged, the opposing engaged Creature loses Invisibility and your opponent reveals their attack hand.". Em regras, resolve quando a criatura fica engajada, gerando: removeInvisibility. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:N/A,combate:quando_engajada,interacao_com_ataque,alvo:creature:opponent, creature:opposing_engaged, creature:engaged} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=triggered | TriggerExato=when_engaged | Alvos=creature:opponent, creature:opposing_engaged, creature:engaged | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:concede/remove_keywords,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:altera_ataques,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=revelar | Duracao=conforme_texto_da_carta
Carta=Sonata of Storms | Tipo=Mugic | Set=AU | EfeitoOficial=Target Creature gains Range and Swift 3. If the caster of this Mugic has Air, the target Creature also gains Invisibility: Surprise. | Funcionamento=Efeito oficial: "Target Creature gains Range and Swift 3. If the caster of this Mugic has Air, the target Creature also gains Invisibility: Surprise.". Em regras, resolve na janela definida pelo texto, gerando: keyword, invisibilitySurprise. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:air,disciplina:mugic,combate:N/A,alvo:creature:self, creature:all} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=continuo | TriggerExato=passivo_continuo_ou_condicional | Alvos=creature:self, creature:all | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:concede/remove_keywords,battlegear:N/A,mugic:afeta_mugic,habilidades:N/A,targeting:altera_regras_de_alvo,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=escolha_de_alvo | Duracao=continuo_enquanto_fonte_valida
Carta=Song of Elemental Attunement | Tipo=Mugic | Set=AU | EfeitoOficial=Target Creature gains all of its Scanned Elemental Types. | Funcionamento=Efeito textual oficial sem parsing completo: "Target Creature gains all of its Scanned Elemental Types.". Aplicar exatamente conforme o texto oficial e a janela indicada. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:N/A,combate:N/A,alvo:creature:all} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=continuo | TriggerExato=passivo_continuo_ou_condicional | Alvos=creature:all | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:altera_regras_de_alvo,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=escolha_de_alvo | Duracao=continuo_enquanto_fonte_valida
Carta=Song of the Dyad | Tipo=Mugic | Set=AU | EfeitoOficial=Choose one: Heal 10 damage to target Creature. Deal 10 damage to target Creature. | Funcionamento=Efeito oficial: "Choose one: Heal 10 damage to target Creature. Deal 10 damage to target Creature.". Em regras, resolve na janela definida pelo texto, gerando: dealDamage, healDamage. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:10,adicional:mugic_deal:10,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:N/A,combate:N/A,alvo:creature:all} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=passivo | TriggerExato=passivo_continuo_ou_condicional | Alvos=creature:all | Modificacoes={elementos:N/A,disciplinas:N/A,energy:altera_energy,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:altera_regras_de_alvo,iniciativa:N/A,ataques:N/A,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=escolha_de_alvo | Duracao=conforme_texto_da_carta
Carta=Song of Translocation | Tipo=Mugic | Set=AU | EfeitoOficial=Relocate target Creature you control to any unoccupied space . | Funcionamento=Efeito oficial: "Relocate target Creature you control to any unoccupied space .". Em regras, resolve na janela definida pelo texto, gerando: relocateEffect. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:N/A,combate:N/A,alvo:creature:self, creature:all} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=passivo | TriggerExato=passivo_continuo_ou_condicional | Alvos=creature:self, creature:all | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:altera_regras_de_alvo,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=escolha_de_alvo | Duracao=conforme_texto_da_carta
Carta=Star Towers of Kehn-sep | Tipo=Location | Set=AU | EfeitoOficial=At the beginning of combat, if an engaged Creature has higher Wisdom than the opposing engaged Creature, that Creature's controller can remove a Mugic counter from a Creature they control. If they do, they can put a Mugic counter on a Creature they control. | Funcionamento=Efeito oficial: "At the beginning of combat, if an engaged Creature has higher Wisdom than the opposing engaged Creature, that Creature's controller can remove a Mugic counter from a Creature they control. If they do, they can put a Mugic counter on a Creature they control.". Em regras, resolve no início do combate, gerando: mugicCounterModifier. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:inicio_do_combate} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:wisdom,mugic,combate:inicio_do_combate,alvo:creature:self, creature:opposing_engaged, creature:engaged} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=triggered | TriggerExato=beginning_of_combat | Alvos=creature:self, creature:opposing_engaged, creature:engaged | Modificacoes={elementos:N/A,disciplinas:altera_disciplinas,energy:N/A,keywords:N/A,battlegear:N/A,mugic:afeta_mugic,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=conforme_texto_da_carta
Carta=Stelgar, Vicious Mutation | Tipo=Creature | Set=AU | EfeitoOficial=At the end of each turn, put a Growth Counter on Stelgar. Stelgar has an additional 10 Energy and 10 in all Disciplines for each Growth Counter on it. | Funcionamento=Efeito oficial: "At the end of each turn, put a Growth Counter on Stelgar. Stelgar has an additional 10 Energy and 10 in all Disciplines for each Growth Counter on it.". Em regras, resolve na janela definida pelo texto, gerando: statModifier. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:energy,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=continuo | TriggerExato=passivo_continuo_ou_condicional | Alvos=N/A | Modificacoes={elementos:N/A,disciplinas:altera_disciplinas,energy:altera_energy,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=continuo_enquanto_fonte_valida
Carta=Stormbird Statues | Tipo=Battlegear | Set=AU | EfeitoOficial=Equipped Creature has Swift 1. If equipped Creature has Air, it has Surprise. This Battlegear begins the game face-up. | Funcionamento=Efeito oficial: "Equipped Creature has Swift 1. If equipped Creature has Air, it has Surprise. This Battlegear begins the game face-up.". Em regras, resolve na janela definida pelo texto, gerando: keyword, startsFaceUp. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:air,disciplina:N/A,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=passivo | TriggerExato=passivo_continuo_ou_condicional | Alvos=N/A | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:concede/remove_keywords,battlegear:afeta_battlegear,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=conforme_texto_da_carta
Carta=Sudden Flare | Tipo=Attack | Set=AU | EfeitoOficial=Stat Check Wisdom 60: Deal 5 damage. | Funcionamento=Efeito oficial: "Stat Check Wisdom 60: Deal 5 damage.". Em regras, resolve na resolução do ataque, gerando: conditionalDamage. | Dano={base:10,fire:5,water:0,air:0,earth:0,mugic:0,adicional:conditionalDamage:5,dano_condicional_por_texto_do_ataque,janela:resolucao_do_ataque} | Condicoes={stat_check:Wisdom 60,challenge:N/A,elemento:N/A,disciplina:wisdom,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=instantaneo,durante_combate | TriggerExato=durante_resolucao_do_ataque | Alvos=criaturas_engajadas | Modificacoes={elementos:N/A,disciplinas:altera_disciplinas,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=instantaneo
Carta=Sun Chariot of Kehn-Sep | Tipo=Battlegear | Set=AU | EfeitoOficial=When equipped Creature becomes engaged, it gains Fire. | Funcionamento=Efeito oficial: "When equipped Creature becomes engaged, it gains Fire.". Em regras, resolve quando a criatura fica engajada, gerando: gainElement. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:fire,disciplina:N/A,combate:quando_engajada,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=triggered,continuo | TriggerExato=when_engaged | Alvos=N/A | Modificacoes={elementos:concede/remove/modifica_elementos,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=continuo_enquanto_fonte_valida
Carta=Sunder Ground | Tipo=Attack | Set=AU | EfeitoOficial=Earth: Your engaged Creature loses Earth. | Funcionamento=Efeito oficial: "Earth: Your engaged Creature loses Earth.". Em regras, resolve na resolução do ataque, gerando: removeElement. | Dano={base:0,fire:0,water:0,air:0,earth:10,mugic:0,adicional:N/A,janela:resolucao_do_ataque} | Condicoes={stat_check:N/A,challenge:N/A,elemento:earth,disciplina:N/A,combate:N/A,alvo:creature:self, creature:engaged} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=instantaneo,durante_combate | TriggerExato=durante_resolucao_do_ataque | Alvos=creature:self, creature:engaged | Modificacoes={elementos:concede/remove/modifica_elementos,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=instantaneo
Carta=Swartbron Battlesong | Tipo=Mugic | Set=AU | EfeitoOficial=If the caster is engaged, the opposing engaged Creature and the caster each gain Energy equal to their lowest Discipline. | Funcionamento=Efeito textual oficial sem parsing completo: "If the caster is engaged, the opposing engaged Creature and the caster each gain Energy equal to their lowest Discipline.". Aplicar exatamente conforme o texto oficial e a janela indicada. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:energy,combate:N/A,alvo:creature:opposing_engaged, creature:engaged} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=continuo | TriggerExato=passivo_continuo_ou_condicional | Alvos=creature:opposing_engaged, creature:engaged | Modificacoes={elementos:N/A,disciplinas:N/A,energy:altera_energy,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=continuo_enquanto_fonte_valida
Carta=Symphony of Shielding | Tipo=Mugic | Set=AU | EfeitoOficial=Target attack or Mugic deals 0 damage. | Funcionamento=Efeito oficial: "Target attack or Mugic deals 0 damage.". Em regras, resolve na janela definida pelo texto, gerando: targetAttackDamageSet. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:targetAttackDamageSet,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:mugic,combate:interacao_com_ataque,alvo:attack:all, attack:target} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=passivo | TriggerExato=passivo_continuo_ou_condicional | Alvos=attack:all, attack:target | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:afeta_mugic,habilidades:N/A,targeting:altera_regras_de_alvo,iniciativa:N/A,ataques:altera_ataques,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=escolha_de_alvo | Duracao=conforme_texto_da_carta
Carta=Synaptic Acceleration | Tipo=Attack | Set=AU | EfeitoOficial=Stat Check Power 100: Deal 5 damage. Stat Check Speed 100: Draw an Attack Card and discard an Attack Card. | Funcionamento=Efeito oficial: "Stat Check Power 100: Deal 5 damage. Stat Check Speed 100: Draw an Attack Card and discard an Attack Card.". Em regras, resolve quando o custo é pago e a habilidade resolve, gerando: conditionalDamage, drawDiscardAttack. | Dano={base:10,fire:0,water:0,air:0,earth:0,mugic:0,adicional:conditionalDamage:5,dano_condicional_por_texto_do_ataque,janela:resolucao_do_ataque} | Condicoes={stat_check:Power 100; Speed 100,challenge:N/A,elemento:N/A,disciplina:power,speed,combate:interacao_com_ataque,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:sim,passivo:sim,sem_custo:nao} | Classificacao=instantaneo,durante_combate,ativo | TriggerExato=activated_ability | Alvos=criaturas_engajadas | Modificacoes={elementos:N/A,disciplinas:altera_disciplinas,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:altera_ataques,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=comprar,descartar | Duracao=instantaneo
Carta=Tablet Sanctuary | Tipo=Location | Set=AU | EfeitoOficial=At the beginning of combat, put a Mugic counter on the engaged Creature with the most Elemental types. | Funcionamento=Efeito oficial: "At the beginning of combat, put a Mugic counter on the engaged Creature with the most Elemental types.". Em regras, resolve no início do combate, gerando: mugicCounterModifier. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:inicio_do_combate} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:mugic,combate:inicio_do_combate,alvo:creature:self, creature:engaged} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=triggered | TriggerExato=beginning_of_combat | Alvos=creature:self, creature:engaged | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:afeta_mugic,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=conforme_texto_da_carta
Carta=Taffial, Cothica Hunter | Tipo=Creature | Set=AU | EfeitoOficial=Expend Earth: Discard an Attack Card. If you do, return an Attack Card with Build Points less than or equal to the discarded Attack Card to your hand. If you cannot, draw an Attack Card. | Funcionamento=Efeito oficial: "Expend Earth: Discard an Attack Card. If you do, return an Attack Card with Build Points less than or equal to the discarded Attack Card to your hand. If you cannot, draw an Attack Card.". Em regras, resolve quando o custo é pago e a habilidade resolve, gerando: discardAttackReturnByBuildPointsOrDraw. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:quando_habilidade_e_ativada} | Condicoes={stat_check:N/A,challenge:N/A,elemento:earth,disciplina:N/A,combate:interacao_com_ataque,alvo:N/A} | Custos={mc:0,ativacao:Expend Earth,sacrificio:nao,descarte:sim,passivo:nao,sem_custo:nao} | Classificacao=ativo,continuo | TriggerExato=activated_ability | Alvos=N/A | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:altera_ataques,dano:N/A,imunidades:N/A,restricoes:impõe_restricoes} | ManipulacaoDeckMao=comprar,descartar | Duracao=continuo_enquanto_fonte_valida
Carta=Tarin | Tipo=Creature | Set=AU | EfeitoOficial=Your other Creatures with Earth have an additional 10 Energy. | Funcionamento=Efeito oficial: "Your other Creatures with Earth have an additional 10 Energy.". Em regras, resolve na janela definida pelo texto, gerando: alliedStatModifierByElement. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:earth,disciplina:energy,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=continuo | TriggerExato=passivo_continuo_ou_condicional | Alvos=N/A | Modificacoes={elementos:N/A,disciplinas:altera_disciplinas,energy:altera_energy,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=continuo_enquanto_fonte_valida
Carta=Tectostrike | Tipo=Attack | Set=AU | EfeitoOficial=Stat Check Courage 60: Deal 10 damage. | Funcionamento=Efeito oficial: "Stat Check Courage 60: Deal 10 damage.". Em regras, resolve na resolução do ataque, gerando: conditionalDamage. | Dano={base:10,fire:0,water:0,air:0,earth:10,mugic:0,adicional:conditionalDamage:10,dano_condicional_por_texto_do_ataque,janela:resolucao_do_ataque} | Condicoes={stat_check:Courage 60,challenge:N/A,elemento:N/A,disciplina:courage,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=instantaneo,durante_combate | TriggerExato=durante_resolucao_do_ataque | Alvos=criaturas_engajadas | Modificacoes={elementos:N/A,disciplinas:altera_disciplinas,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=instantaneo
Carta=Terrantula Tackle | Tipo=Attack | Set=AU | EfeitoOficial=Destroy all Battlegear equipped to engaged Creatures with less than 50 Power or Speed. | Funcionamento=Efeito oficial: "Destroy all Battlegear equipped to engaged Creatures with less than 50 Power or Speed.". Em regras, resolve na resolução do ataque, gerando: destroyBattlegearByStatThreshold. | Dano={base:10,fire:0,water:0,air:0,earth:15,mugic:0,adicional:N/A,janela:resolucao_do_ataque} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:power,speed,combate:N/A,alvo:creature:all, creature:engaged, battlegear:target} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=instantaneo,durante_combate | TriggerExato=durante_resolucao_do_ataque | Alvos=creature:all, creature:engaged, battlegear:target | Modificacoes={elementos:N/A,disciplinas:altera_disciplinas,energy:N/A,keywords:N/A,battlegear:afeta_battlegear,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=instantaneo
Carta=Thar'lyn, AZAIA Spy | Tipo=Creature | Set=AU | EfeitoOficial=Expend Water while engaged: When Thar'lyn next deals attack damage this turn, the opposing engaged Creature loses X to all Disciplines, where X is the damage dealt. | Funcionamento=Efeito oficial: "Expend Water while engaged: When Thar'lyn next deals attack damage this turn, the opposing engaged Creature loses X to all Disciplines, where X is the damage dealt.". Em regras, resolve na janela definida pelo texto, gerando: onNextAttackDamageReduceOpposingDisciplinesByDamage. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:onNextAttackDamageReduceOpposingDisciplinesByDamage,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:water,disciplina:N/A,combate:interacao_com_ataque,alvo:creature:opponent, creature:opposing_engaged, creature:engaged} | Custos={mc:0,ativacao:Expend Water while engaged,sacrificio:nao,descarte:nao,passivo:nao,sem_custo:nao} | Classificacao=ativo,continuo | TriggerExato=triggered_when_condition_occurs | Alvos=creature:opponent, creature:opposing_engaged, creature:engaged | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:altera_ataques,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=ate_fim_do_turno
Carta=Tharc, Tablet Translator | Tipo=Creature | Set=AU | EfeitoOficial=MC: Target Creature gains 50 Courage. If that Creature has Earth, it gains an additional 50 Courage. | Funcionamento=Efeito oficial: "MC: Target Creature gains 50 Courage. If that Creature has Earth, it gains an additional 50 Courage.". Em regras, resolve quando o custo é pago e a habilidade resolve, gerando: statModifier. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:quando_habilidade_e_ativada} | Condicoes={stat_check:N/A,challenge:N/A,elemento:earth,disciplina:courage,combate:N/A,alvo:creature:all} | Custos={mc:0,ativacao:MC,sacrificio:nao,descarte:nao,passivo:nao,sem_custo:nao} | Classificacao=ativo,continuo | TriggerExato=activated_ability | Alvos=creature:all | Modificacoes={elementos:N/A,disciplinas:altera_disciplinas,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:altera_regras_de_alvo,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=escolha_de_alvo | Duracao=continuo_enquanto_fonte_valida
Carta=The Cliffs | Tipo=Location | Set=AU | EfeitoOficial=At the beginning of combat, all Creatures gain Earth. | Funcionamento=Efeito oficial: "At the beginning of combat, all Creatures gain Earth.". Em regras, resolve no início do combate, gerando: gainElement. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:inicio_do_combate} | Condicoes={stat_check:N/A,challenge:N/A,elemento:earth,disciplina:N/A,combate:inicio_do_combate,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=triggered,continuo | TriggerExato=beginning_of_combat | Alvos=N/A | Modificacoes={elementos:concede/remove/modifica_elementos,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=continuo_enquanto_fonte_valida
